StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,PerformanceCategory,AttendanceBucket,StudyHoursBucket,StressBucket
19,64,1,Unknown,0,Unknown,Female,19,Kinesthetic,Unknown,1,59,40,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,1,Unknown,0,Unknown,Female,23,Reading/Writing,Unknown,0,90,66,Unknown,1,2,Medium,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,1,Unknown,0,Unknown,Female,28,Auditory,Unknown,0,67,99,Unknown,1,0,High,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,1,Unknown,0,Unknown,Female,19,Kinesthetic,Unknown,1,59,40,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,1,Unknown,0,Unknown,Female,23,Reading/Writing,Unknown,0,90,66,Unknown,1,2,Medium,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,1,Unknown,0,Unknown,Female,28,Auditory,Unknown,0,67,99,Unknown,1,0,High,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,0,Unknown,0,Unknown,Female,19,Kinesthetic,Unknown,1,59,40,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,0,Unknown,0,Unknown,Female,23,Reading/Writing,Unknown,0,90,66,Unknown,1,2,Medium,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,0,Unknown,0,Unknown,Female,28,Auditory,Unknown,0,67,99,Unknown,1,0,High,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,1,Unknown,1,Unknown,Female,19,Kinesthetic,Unknown,1,59,40,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,1,Unknown,1,Unknown,Female,23,Reading/Writing,Unknown,0,90,66,Unknown,1,2,Medium,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,1,Unknown,1,Unknown,Female,28,Auditory,Unknown,0,67,99,Unknown,1,0,High,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,1,Unknown,0,Unknown,Female,19,Kinesthetic,Unknown,1,59,40,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,1,Unknown,0,Unknown,Female,23,Reading/Writing,Unknown,0,90,66,Unknown,1,2,Medium,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,1,Unknown,0,Unknown,Female,28,Auditory,Unknown,0,67,99,Unknown,1,0,High,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,2,Unknown,1,Unknown,Female,19,Kinesthetic,Unknown,1,59,40,Unknown,1,3,Low,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,2,Unknown,1,Unknown,Female,23,Reading/Writing,Unknown,0,90,66,Unknown,1,2,Medium,Moderate (60–74%),Moderate (10–19 hrs),Low
19,64,2,Unknown,1,Unknown,Female,28,Auditory,Unknown,0,67,99,Unknown,1,0,High,Moderate (60–74%),Moderate (10–19 hrs),Low
24,98,1,Unknown,1,Unknown,Male,29,Visual,Unknown,0,65,46,Unknown,2,3,Low,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,1,Unknown,1,Unknown,Male,27,Visual,Unknown,1,71,83,Unknown,0,1,High,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,1,Unknown,1,Unknown,Male,25,Auditory,Unknown,1,61,95,Unknown,0,0,High,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,1,Unknown,1,Unknown,Male,29,Visual,Unknown,0,65,46,Unknown,2,3,Low,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,1,Unknown,1,Unknown,Male,27,Visual,Unknown,1,71,83,Unknown,0,1,High,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,1,Unknown,1,Unknown,Male,25,Auditory,Unknown,1,61,95,Unknown,0,0,High,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,0,Unknown,2,Unknown,Male,29,Visual,Unknown,0,65,46,Unknown,2,3,Low,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,0,Unknown,2,Unknown,Male,27,Visual,Unknown,1,71,83,Unknown,0,1,High,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,0,Unknown,2,Unknown,Male,25,Auditory,Unknown,1,61,95,Unknown,0,0,High,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,0,Unknown,1,Unknown,Male,29,Visual,Unknown,0,65,46,Unknown,2,3,Low,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,0,Unknown,1,Unknown,Male,27,Visual,Unknown,1,71,83,Unknown,0,1,High,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,0,Unknown,1,Unknown,Male,25,Auditory,Unknown,1,61,95,Unknown,0,0,High,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,1,Unknown,2,Unknown,Male,29,Visual,Unknown,0,65,46,Unknown,2,3,Low,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,1,Unknown,2,Unknown,Male,27,Visual,Unknown,1,71,83,Unknown,0,1,High,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,1,Unknown,2,Unknown,Male,25,Auditory,Unknown,1,61,95,Unknown,0,0,High,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,0,Unknown,0,Unknown,Male,29,Visual,Unknown,0,65,46,Unknown,2,3,Low,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,0,Unknown,0,Unknown,Male,27,Visual,Unknown,1,71,83,Unknown,0,1,High,Excellent (>=90%),Intensive (>=20 hrs),Low
24,98,0,Unknown,0,Unknown,Male,25,Auditory,Unknown,1,61,95,Unknown,0,0,High,Excellent (>=90%),Intensive (>=20 hrs),Low
29,89,1,Unknown,1,Unknown,Male,20,Visual,Unknown,1,75,54,Unknown,2,3,Medium,Good (75–89%),Intensive (>=20 hrs),Low
29,89,1,Unknown,1,Unknown,Male,23,Kinesthetic,Unknown,1,59,42,Unknown,2,3,Low,Good (75–89%),Intensive (>=20 hrs),Low
29,89,1,Unknown,1,Unknown,Male,23,Visual,Unknown,0,96,62,Unknown,2,2,Medium,Good (75–89%),Intensive (>=20 hrs),Low
29,89,0,Unknown,0,Unknown,Male,20,Visual,Unknown,1,75,54,Unknown,2,3,Medium,Good (75–89%),Intensive (>=20 hrs),Low
29,89,0,Unknown,0,Unknown,Male,23,Kinesthetic,Unknown,1,59,42,Unknown,2,3,Low,Good (75–89%),Intensive (>=20 hrs),Low
29,89,0,Unknown,0,Unknown,Male,23,Visual,Unknown,0,96,62,Unknown,2,2,Medium,Good (75–89%),Intensive (>=20 hrs),Low
19,92,1,Unknown,1,Unknown,Female,19,Reading/Writing,Unknown,1,63,40,Unknown,2,3,Low,Excellent (>=90%),Moderate (10–19 hrs),Low
19,92,1,Unknown,1,Unknown,Female,26,Kinesthetic,Unknown,0,86,94,Unknown,2,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
19,92,2,Unknown,1,Unknown,Female,19,Reading/Writing,Unknown,1,63,40,Unknown,2,3,Low,Excellent (>=90%),Moderate (10–19 hrs),Low
19,92,2,Unknown,1,Unknown,Female,26,Kinesthetic,Unknown,0,86,94,Unknown,2,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
19,92,2,Unknown,1,Unknown,Female,19,Reading/Writing,Unknown,1,63,40,Unknown,2,3,Low,Excellent (>=90%),Moderate (10–19 hrs),Low
19,92,2,Unknown,1,Unknown,Female,26,Kinesthetic,Unknown,0,86,94,Unknown,2,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
19,92,1,Unknown,1,Unknown,Female,19,Reading/Writing,Unknown,1,63,40,Unknown,2,3,Low,Excellent (>=90%),Moderate (10–19 hrs),Low
19,92,1,Unknown,1,Unknown,Female,26,Kinesthetic,Unknown,0,86,94,Unknown,2,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
19,92,1,Unknown,2,Unknown,Female,19,Reading/Writing,Unknown,1,63,40,Unknown,2,3,Low,Excellent (>=90%),Moderate (10–19 hrs),Low
19,92,1,Unknown,2,Unknown,Female,26,Kinesthetic,Unknown,0,86,94,Unknown,2,0,High,Excellent (>=90%),Moderate (10–19 hrs),Low
29,84,0,Unknown,0,Unknown,Male,21,Kinesthetic,Unknown,1,57,48,Unknown,2,3,Low,Good (75–89%),Intensive (>=20 hrs),Low
29,84,0,Unknown,0,Unknown,Male,28,Kinesthetic,Unknown,0,74,60,Unknown,0,2,Medium,Good (75–89%),Intensive (>=20 hrs),Low
29,84,1,Unknown,1,Unknown,Male,21,Kinesthetic,Unknown,1,57,48,Unknown,2,3,Low,Good (75–89%),Intensive (>=20 hrs),Low
29,84,1,Unknown,1,Unknown,Male,28,Kinesthetic,Unknown,0,74,60,Unknown,0,2,Medium,Good (75–89%),Intensive (>=20 hrs),Low
